Date,Incident Type,State,LSTM Predictions,XGBoost Predictions,Hybrid Predictions,Latitude,Longitude,yhat,yhat_lower,yhat_upper
8/1/25,Fire,MT,5.505621,1.9824975,3.744059,35.8885993,14.4476911,,,
9/1/25,Fire,MT,5.5334535,9.581794,7.557624,35.8885993,14.4476911,,,
10/1/25,Fire,MT,5.550581,9.581794,7.5661874,35.8885993,14.4476911,,,
11/1/25,Fire,MT,5.5544252,9.581794,7.5681095,35.8885993,14.4476911,,,
12/1/25,Fire,MT,5.5488544,9.581794,7.565324,35.8885993,14.4476911,,,
1/1/25,Fire,NM,3.6425576,1.5852689,2.6139133,34.5802074,-105.996047,0.9072351422530649,-8.938590075,10.862874335883197
2/1/25,Fire,NM,3.5375018,1.5191859,2.528344,34.5802074,-105.996047,-2.422707594,-12.00097318,7.481093835601916
3/1/25,Fire,NM,3.4975686,1.2968339,2.3972013,34.5802074,-105.996047,0.7364142247574628,-9.784998743,10.247749303607362
4/1/25,Fire,NM,3.5570107,1.7398812,2.6484458,34.5802074,-105.996047,1.9473366611745297,-7.79572436,12.062040454174738
5/1/25,Fire,NM,3.635468,1.6093903,2.6224291,34.5802074,-105.996047,7.421429701224443,-2.220821342,16.973179338639245
6/1/25,Fire,NM,3.774421,1.9871134,2.880767,34.5802074,-105.996047,2.488947532077921,-7.525274115,12.862416315930423
7/1/25,Fire,NM,3.7620125,1.0025481,2.3822803,34.5802074,-105.996047,,,
8/1/25,Fire,NM,3.7481108,0.98415935,2.3661351,34.5802074,-105.996047,,,
9/1/25,Fire,NM,3.7381768,0.98415935,2.3611681,34.5802074,-105.996047,,,
10/1/25,Fire,NM,3.7336853,0.98415935,2.3589222,34.5802074,-105.996047,,,
11/1/25,Fire,NM,3.733065,1.376277,2.5546708,34.5802074,-105.996047,,,
12/1/25,Fire,NM,3.7346728,1.376277,2.5554748,34.5802074,-105.996047,,,
1/1/25,Fire,NV,1.689773,0.99662936,1.3432012,39.5158825,-116.853722,0.63402885,-0.475419921,1.8029637714874176
2/1/25,Fire,NV,1.6496876,0.99662936,1.3231585,39.5158825,-116.853722,2.190431684697474,1.1205604177967297,3.3471635319665882
3/1/25,Fire,NV,1.6743679,0.99662936,1.3354986,39.5158825,-116.853722,1.351995683,0.25837881893389614,2.513278952581902
4/1/25,Fire,NV,1.706842,0.99662936,1.3517356,39.5158825,-116.853722,-2.666362529,-3.832070037,-1.497817419
5/1/25,Fire,NV,1.7436584,0.99662936,1.3701439,39.5158825,-116.853722,1.0616556140119937,-0.034544008,2.2658718869828323
6/1/25,Fire,NV,1.7820809,0.9968773,1.3894792,39.5158825,-116.853722,1.398058421,0.2330580114715494,2.525261705580723
7/1/25,Fire,NV,1.7849591,1.0092653,1.3971121,39.5158825,-116.853722,1.8927635206868705,0.7467921133271663,3.0602437358009453
8/1/25,Fire,NV,1.7913625,1.9969015,1.894132,39.5158825,-116.853722,1.719322368334957,0.553786798,2.862788295996756
9/1/25,Fire,NV,1.7972414,2.0169234,1.9070824,39.5158825,-116.853722,1.0132114043476554,-0.100907958,2.1627618988890567
10/1/25,Fire,NV,1.8018179,2.0169234,1.9093707,39.5158825,-116.853722,1.6829132205411006,0.5537776682193619,2.831674741626831
11/1/25,Fire,NV,1.8046784,1.9833246,1.8940015,39.5158825,-116.853722,1.0110537011702276,-0.160636862,2.084370976106989
12/1/25,Fire,NV,1.8056982,1.9833246,1.8945115,39.5158825,-116.853722,,,
1/1/25,Fire,OK,8.070046,1.0280803,4.549063,64.5994621,-20.8788186,56.70678632592676,41.32622144969946,72.74573333205477
2/1/25,Fire,OK,7.7097974,1.0106283,4.360213,64.5994621,-20.8788186,5.272286426110294,-9.437772945,20.840692410527378
3/1/25,Fire,OK,7.359245,1.0813463,4.2202954,64.5994621,-20.8788186,6.528665719397637,-7.806594489,22.488113841449067
4/1/25,Fire,OK,6.8016577,0.83253413,3.817096,64.5994621,-20.8788186,7.394283163,-7.699487579,21.742545302076277
5/1/25,Fire,OK,6.281293,0.69527835,3.4882855,64.5994621,-20.8788186,4.632469344196462,-10.7247263,19.909279915379628
6/1/25,Fire,OK,5.991016,-0.10621945,2.9423983,64.5994621,-20.8788186,8.794272766,-5.08404797,24.82320240500767
7/1/25,Fire,OK,6.1469407,0.7482631,3.4476018,64.5994621,-20.8788186,6.687442035440356,-7.789586744,22.269694772716047
8/1/25,Fire,OK,6.280721,7.5823236,6.9315224,64.5994621,-20.8788186,14.318097565478691,0.063611794,30.213159875208365
9/1/25,Fire,OK,6.3782253,0.91747236,3.6478488,64.5994621,-20.8788186,10.118007346068401,-4.930608987,24.60575635057725
10/1/25,Fire,OK,6.4187427,0.91747236,3.6681075,64.5994621,-20.8788186,0.8076783592554282,-14.8421504,17.08024832653078
11/1/25,Fire,OK,6.4090633,1.2150791,3.8120713,64.5994621,-20.8788186,,,
12/1/25,Fire,OK,6.374209,2.3115735,4.342891,64.5994621,-20.8788186,,,
1/1/25,Fire,OR,1.7275335,2.005075,1.8663042,43.9792797,-120.737257,4.997090297939678,-2.363253421,12.014573005371005
2/1/25,Fire,OR,1.617524,2.005075,1.8112996,43.9792797,-120.737257,-126.6475307,-134.0377386,-119.5252966
3/1/25,Fire,OR,1.7086285,2.005075,1.8568518,43.9792797,-120.737257,-23.91599475,-31.00981792,-16.35633117
4/1/25,Fire,OR,1.6876352,2.005075,1.8463551,43.9792797,-120.737257,90.39606525699806,83.30213863802719,98.22452823531046
5/1/25,Fire,OR,1.700686,2.005075,1.8528805,43.9792797,-120.737257,88.16137038121695,80.81149511761421,95.26684751
6/1/25,Fire,OR,1.7473369,2.005075,1.8762059,43.9792797,-120.737257,1.5994124689560714,-5.589206308,8.662831489170138
7/1/25,Fire,OR,1.7487626,2.005075,1.8769188,43.9792797,-120.737257,5.821271027189848,-0.846173189,13.647338469125215
8/1/25,Fire,OR,1.7480283,2.005075,1.8765516,43.9792797,-120.737257,2.844734142884489,-3.981142138,9.529973029564701
9/1/25,Fire,OR,1.7482046,49.720894,25.734549,43.9792797,-120.737257,8.359873630318166,1.117575678164247,15.60985477908284
10/1/25,Fire,OR,1.7476397,49.720894,25.734266,43.9792797,-120.737257,-25.58814304,-32.6304594,-18.68001321
11/1/25,Fire,OR,1.746971,49.720894,25.733932,43.9792797,-120.737257,223.7036307863051,217.16445661686316,230.63763726164382
12/1/25,Fire,OR,1.7469453,49.720894,25.73392,43.9792797,-120.737257,-34.26032701,-40.90021271,-26.87429173
1/1/25,Fire,TX,39.322468,246.18413,142.7533,31.2638905,-98.5456116,113.37278808466257,55.17957791710052,169.7238221386583
2/1/25,Fire,TX,33.690304,4.0181203,18.854212,31.2638905,-98.5456116,-11.51952359,-65.72743591,47.02917470184014
3/1/25,Fire,TX,27.519554,3.1561515,15.3378525,31.2638905,-98.5456116,,,
4/1/25,Fire,TX,22.463526,32.47176,27.467644,31.2638905,-98.5456116,,,
5/1/25,Fire,TX,19.504713,6.925856,13.215284,31.2638905,-98.5456116,,,
6/1/25,Fire,TX,18.167467,11.663132,14.915299,31.2638905,-98.5456116,,,
7/1/25,Fire,TX,21.628632,121.48714,71.557884,31.2638905,-98.5456116,,,
8/1/25,Fire,TX,23.596016,3.3839388,13.489977,31.2638905,-98.5456116,,,
9/1/25,Fire,TX,24.076923,3.9429615,14.009942,31.2638905,-98.5456116,,,
10/1/25,Fire,TX,23.611423,16.435255,20.023338,31.2638905,-98.5456116,,,
11/1/25,Fire,TX,22.83642,16.668747,19.752583,31.2638905,-98.5456116,,,
12/1/25,Fire,TX,22.154648,17.346764,19.750706,31.2638905,-98.5456116,,,
1/1/25,Fire,WA,3.0256937,2.006359,2.5160265,-25.2303005,121.0187246,-102.3400011,-106.5205096,-98.06856875
2/1/25,Fire,WA,3.006692,2.006359,2.5065255,-25.2303005,121.0187246,12.250713518477541,8.212205181498923,16.343053888232898
